Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,2425.000000,2513.949951,2409.100098,2505.149902,2505.149902,3084607
2021-03-30,2539.100098,2583.449951,2521.500000,2578.050049,2578.050049,2332884
2021-03-31,2578.050049,2582.949951,2531.000000,2537.399902,2537.399902,1616044
2021-04-01,2532.000000,2564.550049,2532.000000,2551.750000,2551.750000,1219588
2021-04-05,2558.000000,2558.000000,2484.500000,2510.649902,2510.649902,1268939
2021-04-06,2526.000000,2620.000000,2504.500000,2611.600098,2611.600098,3372846
2021-04-07,2605.000000,2668.050049,2600.100098,2628.600098,2628.600098,1937977
2021-04-08,2630.000000,2658.399902,2628.000000,2650.649902,2650.649902,897483
2021-04-09,2635.000000,2655.000000,2610.149902,2630.800049,2630.800049,1185017
2021-04-12,2578.199951,2610.000000,2555.000000,2602.199951,2602.199951,1427691
